爱体育HD,rtp://239.93.4.235:8690
爱历史HD,rtp://239.93.4.229:8592
爱动漫HD,rtp://239.93.4.239:8736
爱喜剧HD,rtp://239.93.4.225:8500
爱奇谈HD,rtp://239.93.4.238:8722
爱幼教HD,rtp://239.93.4.233:8682
爱悬疑HD,rtp://239.93.4.228:8576
爱旅行HD,rtp://239.93.4.232:8678
爱浪漫HD,rtp://239.93.4.237:8718
爱玩具HD,rtp://239.93.4.234:8686
爱科幻HD,rtp;//239.93.4.226:8568
爱谍战HD,rtp://239.93.4.230:8596
爱赛车HD,rtp;//239.93.4.236:8700
爱院线HD,rtp://239.93.4.227:8572
四川峨眉HD,rtp://239.93.5.116:8696
四海钓鱼HD,rtp://239.93.4.22:7066
睛彩绚影4K,rtp://239.93.4.248:8800
CHC影迷电影HD,rtp://239.93.5.222:8880
CHC家庭影院HD,rtp;//239.93.5.220:8876
CHC动作电影HD,rtp://239.93.5.224:8884
梨园频道HD,rtp://239.93.5.249:9966
天元围棋HD,rtp://239.93.5.214:8860
法治天地HD,rtp://239.93.4.231:8674
游戏风云HD,rtp://239.93.5.207:9714
金色学堂HD,rtp://239.93.5.11:8060
金鹰纪实HD,rtp://239.93.4.199:7740
环球旅游HD,rtp://239.93.4.246:8792
快乐垂钓HD,rtp://239.93.5.6:7010
生活时尚HD,rtp://239.93.4.244:8784
中国交通HD,rtp://239.93.4.174:7760
中国天气HD,rtp://239.93.4.21:7062
乐游HD,rtp://239.93.5.1:8824
都市剧场HD,rtp://239.93.4.245:8788
求索记录HD,rtp://239.93.5.240:8740
CCTV4K,rtp://239.93.4.16:7040
北京卫视4K,rtp://239.93.5.111:8662
北京卫视4K,rtp://239.93.5.59:7948
北京卫视4K,rtp://239.93.4.58:7952
东方卫视4K,rtp://239.93.5.231:8046
广东卫视4K,rtp://239.93.4.20:7058
深圳卫视4K,rtp://239.93.5.22:7068
湖南卫视4K,rtp://239.93.5.17:7046
山东卫视4K,rtp://239.93.5.232:8052
山东卫视4K,rtp://239.93.5.235:8090
四川卫视4K,rtp://239.93.4.18:7048
江苏卫视4K,rtp://239.93.4.17:7042
欢笑剧场4K,rtp://239.93.5.5:7000
BesTV-4K,rtp://239.93.5.18:7052
BesTV4K-1,rtp://239.93.4.19:7054
BesTV4K-2,rtp://239.93.4.165:9978
华数4K,rtp://239.93.4.252:8816
睛彩亲子4K,rtp://239.93.5.236:8094
睛彩钓鱼HD,rtp://239.93.4.224:8496
睛彩综艺HD,rtp://239.93.5.130:8780
睛彩爱宠HD,rtp://239.93.4.247:8796
睛彩亲子HD,rtp://239.93.5.233:8082
睛彩学堂HD,rtp://239.93.4.216:8868
睛彩少儿HD,rtp://239.93.4.249:8804
峨眉电影,rtp://239.93.1.18:5140
凤凰中文,rtp://239.93.1.9:2192
凤凰资讯,rtp://239.93.1.4:2191
星空,rtp://239.93.1.10:2193
CHANNEL-V,rtp://239.93.1.7:2194
CCTV-1高清,rtp://239.93.0.184:5140
CCTV-2高清,rtp://239.93.1.23:6000
CCTV-3高清,rtp://239.93.1.11:2223
CCTV-4高清,rtp://239.93.1.105:5140
